"cbsa","state","puma12","stab","cbsaname15","PUMAname","pop14","afact"
"CBSA current as of CBSAyr","FIPS state","puma12","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","cbsa to puma12 alloc factor"
"16980","17","03310","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships",134113.874,0.014 
"16980","17","03401","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (Northwest)--Palatine & Barrington Townships",127907.409,0.013 
"16980","17","03407","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (West Central)--Proviso, Riverside & River Forest Townships",180249.005,0.019 
"16980","17","03408","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (Central)--Cicero, Berwyn & Oak Park Townships",194344.12,0.02 
"16980","17","03409","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (West Central)--Lyons & Stickney Townships",153979.735,0.016 
"16980","17","03410","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships",175335.511,0.018 
"16980","17","03411","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (South Central)--Worth & Calumet Townships",175163.816,0.018 
"16980","17","03412","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (South Central)--Bremen & Orland (East) Townships",110893.487,0.012 
"16980","17","03413","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (Southeast)--Thornton Township",171013.857,0.018 
"16980","17","03414","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (South)--Bloom & Rich Townships",169320.141,0.018 
"16980","17","03415","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (North)--Wheeling Township (North & East)",127748.844,0.013 
"16980","17","03416","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (Northeast)--Northfield & New Trier Townships",141926.776,0.015 
"16980","17","03417","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships",122201.089,0.013 
"16980","17","03418","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (Northwest)--Schaumburg Township (South & Central)",110925.806,0.012 
"16980","17","03419","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships",123248.426,0.013 
"16980","17","03420","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park",187773.268,0.02 
"16980","17","03421","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (North)--Niles & Evanston Townships",182165.925,0.019 
"16980","17","03422","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--OHare",131389.779,0.014 
"16980","17","03501","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (North)--Edgewater, Uptown & Rogers Park",169547.384,0.018 
"16980","17","03502","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (North)--Lake View & Lincoln Park",160063.783,0.017 
"16980","17","03503","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (North)--West Ridge, Lincoln Square & North Center",144730.448,0.015 
"16980","17","03504","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park",142748.89,0.015 
"16980","17","03520","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park",132814.844,0.014 
"16980","17","03521","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (West)--Austin, Belmont Cragin & Montclare",192583.746,0.02 
"16980","17","03522","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (Northwest)--Logan Square, Avondale & Hermosa",139241.271,0.015 
"16980","17","03523","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park",212185.206,0.022 
"16980","17","03524","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (West)--West Town, Near West Side & Lower West Side",173797.329,0.018 
"16980","17","03525","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (Central)--Near North Side, Loop & Near South Side",132464.385,0.014 
"16980","17","03526","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park",165753.943,0.017 
"16980","17","03527","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn",150495.345,0.016 
"16980","17","03528","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",155927.964,0.016 
"16980","17","03529","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",181743.758,0.019 
"16980","17","03530","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly",130519.187,0.014 
"16980","17","03531","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",138861.523,0.015 
"16980","17","03532","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering",137389.999,0.014 
"16980","17","03601","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","McHenry County (North, West & Central)",133829.728,0.014 
"16980","17","03602","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships",173453.272,0.018 
"16980","17","03700","IL","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Kendall & Grundy Counties",171775,0.018 
"16980","18","00101","IN","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Lake County (Northwest)--Hammond & East Chicago Cities",114179.473,0.012 
"16980","18","00102","IN","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Lake County (Northeast)--Gary City & Griffith Town",128995.872,0.014 
"16980","18","00103","IN","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Lake County (Central)",118430.379,0.012 
"16980","18","00104","IN","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Lake County (South)",128622.275,0.013 
"16980","18","00200","IN","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Porter County",167076,0.017 
"16980","18","00700","IN","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Jasper, Starke, Fulton, Newton & Pulaski Counties",47631,0.005 
"16980","55","10000","WI","Chicago-Naperville-Elgin, IL-IN-WI (Metro)","Kenosha County",168068,0.018 
"17020","06","00701","CA","Chico, CA (Metro)","Butte County (Northwest)--Chico City",113536.276,0.506 
"17020","06","00702","CA","Chico, CA (Metro)","Butte County (Southeast)--Oroville City & Paradise Town",110704.724,0.494 
"17060","39","04800","OH","Chillicothe, OH (Micro)","Ross & Fayette Counties",77159,1 
"17140","18","02600","IN","Cincinnati, OH-KY-IN (Metro)","Wayne, Fayette, Rush & Union Counties",7246,0.003 
"17140","18","03100","IN","Cincinnati, OH-KY-IN (Metro)","Dearborn, Franklin, Ripley, Switzerland & Ohio Counties",55541,0.026 
"17140","21","02400","KY","Cincinnati, OH-KY-IN (Metro)","Northern Kentucky Area Development District (North Central)--Kenton County",163929,0.076 
"17140","21","02500","KY","Cincinnati, OH-KY-IN (Metro)","Northern Kentucky Area Development District (Northwest)--Boone County",126413,0.059 
"17140","21","02600","KY","Cincinnati, OH-KY-IN (Metro)","Northern Kentucky Area Development District (Southeast)",139790,0.065 
"17140","21","02700","KY","Cincinnati, OH-KY-IN (Metro)","Buffalo Trace & Gateway Area Development Districts",8406,0.004 
"17140","39","05301","OH","Cincinnati, OH-KY-IN (Metro)","Warren County (East)--Lebanon & Springboro (East) Cities",109209.471,0.051 
"17140","39","05302","OH","Cincinnati, OH-KY-IN (Metro)","Warren County (West)--Mason, Franklin & Springboro (West) Cities",112449.529,0.052 
"17140","39","05401","OH","Cincinnati, OH-KY-IN (Metro)","Butler County (Southeast)--Monroe City & Beckett Ridge",112990.37,0.053 
"17140","39","05402","OH","Cincinnati, OH-KY-IN (Metro)","Butler County (South Central)--Hamilton & Fairfield Cities",134302.73,0.062 
"17140","39","05403","OH","Cincinnati, OH-KY-IN (Metro)","Butler County (North & West)--Middletown, Oxford & Trenton Cities",126864.9,0.059 
"17140","39","05501","OH","Cincinnati, OH-KY-IN (Metro)","Hamilton County (West)--Mack & Dent",111888.492,0.052 
"17140","39","05502","OH","Cincinnati, OH-KY-IN (Metro)","Hamilton County (Central)--Forest Park City, White Oak, Bridgetown & Finneytown",148133.777,0.069 
"17140","39","05503","OH","Cincinnati, OH-KY-IN (Metro)","Cincinnati City (West)",109417.451,0.051 
"17140","39","05504","OH","Cincinnati, OH-KY-IN (Metro)","Cincinnati City (Central)",121832.974,0.057 
"17140","39","05505","OH","Cincinnati, OH-KY-IN (Metro)","Cincinnati (East) & Norwood Cities",104887.545,0.049 
"17140","39","05506","OH","Cincinnati, OH-KY-IN (Metro)","Hamilton County (North Central)--Sharonville, Blue Ash, Springdale & Reading Cities",105548.03,0.049 
"17140","39","05507","OH","Cincinnati, OH-KY-IN (Metro)","Hamilton County (East)--Loveland, Montgomery Cities & Forestville",104922.73,0.049 
"17140","39","05600","OH","Cincinnati, OH-KY-IN (Metro)","Clermont County (West)",131098.816,0.061 
"17140","39","05700","OH","Cincinnati, OH-KY-IN (Metro)","Clermont (East) & Brown Counties",114577.184,0.053 
"17200","33","00100","NH","Claremont-Lebanon, NH-VT (Micro)","Northern New Hampshire--Grafton & Coos Counties",89658,0.412 
"17200","33","00500","NH","Claremont-Lebanon, NH-VT (Micro)","Southwestern New Hampshire--Cheshire & Sullivan Counties",43103,0.198 
"17200","50","00300","VT","Claremont-Lebanon, NH-VT (Micro)","Southeast Vermont--Windsor, Windham & Orange Counties",84873,0.39 
"17220","54","00200","WV","Clarksburg, WV (Micro)","Harrison, Marion, Taylor & Doddridge Counties",94221,1 
"17260","28","00300","MS","Clarksdale, MS (Micro)","North Delta Region--Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties",24807,1 
"17300","21","00300","KY","Clarksville, TN-KY (Metro)","Pennyrile Area Development District (South)",88392,0.318 
"17300","47","00300","TN","Clarksville, TN-KY (Metro)","Montgomery & Stewart Counties--Clarksville City",189961,0.682 
"17340","06","03300","CA","Clearlake, CA (Micro)","Lake & Mendocino Counties",64184,1 
"17380","28","00800","MS","Cleveland, MS (Micro)","South Delta Region",33768,1 
"17420","47","01900","TN","Cleveland, TN (Metro)","Bradley, McMinn & Polk Counties--Cleveland City",119705,1 
"17460","39","00801","OH","Cleveland-Elyria, OH (Metro)","Lorain County (North)--Elyria & Lorain Cities",134962.814,0.065 
"17460","39","00802","OH","Cleveland-Elyria, OH (Metro)","Lorain County (South)--Avon, Avon Lake & North Ridgeville Cities",169253.186,0.082 
"17460","39","00901","OH","Cleveland-Elyria, OH (Metro)","Cuyahoga County--Olmsted Township, Bay Village, North Olmsted & Westlake Cities",101992.056,0.049 
"17460","39","00902","OH","Cleveland-Elyria, OH (Metro)","Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities",141147.322,0.068 
"17460","39","00903","OH","Cleveland-Elyria, OH (Metro)","Cuyahoga County (South)--Broadview Heights, North Royalton & Strongsville Cities",113553.813,0.055 
"17460","39","00904","OH","Cleveland-Elyria, OH (Metro)","Cuyahoga County (South Central)--Brooklyn, Parma, Parma Heights & Seven Hills Cities",123305.724,0.06 
"17460","39","00905","OH","Cleveland-Elyria, OH (Metro)","Cleveland City (West)",100237.322,0.049 
"17460","39","00906","OH","Cleveland-Elyria, OH (Metro)","Cleveland City (Central)",122783.142,0.059 
"17460","39","00907","OH","Cleveland-Elyria, OH (Metro)","Cuyahoga County (Southeast)--Bedford, Garfield Heights & Maple Heights Cities",103103.158,0.05 
"17460","39","00908","OH","Cleveland-Elyria, OH (Metro)","Cleveland City (East) & Bratenahl Village",168857.944,0.082 
"17460","39","00909","OH","Cleveland-Elyria, OH (Metro)","Cuyahoga County (Northeast)--Euclid, Cleveland Heights & South Euclid Cities",146360.347,0.071 
"17460","39","00910","OH","Cleveland-Elyria, OH (Metro)","Cuyahoga County (East)--Lyndhurst, Mayfield Heights, Shaker Heights & Solon Cities",138487.173,0.067 
"17460","39","01000","OH","Cleveland-Elyria, OH (Metro)","Lake County (West)--Eastlake, Wickliffe, Willoughby & Willowick Cities",100062.984,0.048 
"17460","39","01100","OH","Cleveland-Elyria, OH (Metro)","Lake County (East)--Mentor, Painesville Cities & Madison Village",107788.651,0.052 
"17460","39","01200","OH","Cleveland-Elyria, OH (Metro)","Geauga & Lake (South) Counties",115673.365,0.056 
"17460","39","01900","OH","Cleveland-Elyria, OH (Metro)","Medina County",176029,0.085 
"17500","12","09300","FL","Clewiston, FL (Micro)","Southeast Heartland--Highlands (South & East), Okeechobee, Hendry & Glades Counties",38505,1 
"17540","19","00800","IA","Clinton, IA (Micro)","Clinton, Muscatine, Jones & Cedar Counties",48051,1 
"17580","35","00400","NM","Clovis, NM (Micro)","Eastern Plains New Mexico",50969,1 
"17660","16","00100","ID","Coeur dAlene, ID (Metro)","Bonner, Latah, Shoshone, Boundary, Benewah & Kootenai (Southeast) Counties",5153.974,0.035 
"17660","16","00200","ID","Coeur dAlene, ID (Metro)","Kootenai County (Northwest)--Coeur dAlene, Post Falls & Hayden Cities",142172.026,0.965 
"17700","20","01500","KS","Coffeyville, KS (Micro)","Southeast Kansas",34065,1 
"17740","26","02200","MI","Coldwater, MI (Micro)","St. Joseph & Branch Counties",43545,1 
"17780","48","03601","TX","College Station-Bryan, TX (Metro)","Brazos Valley COG (Outside Brazos County) & Milam County",33753,0.139 
"17780","48","03602","TX","College Station-Bryan, TX (Metro)","Brazos Valley COG--Brazos County--College Station & Bryan Cities",209152,0.861 
"17820","08","04101","CO","Colorado Springs, CO (Metro)","El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City",117434.522,0.171 
"17820","08","04102","CO","Colorado Springs, CO (Metro)","El Paso County (West Central)--Colorado Springs City (West)",114131.414,0.166 
"17820","08","04103","CO","Colorado Springs, CO (Metro)","El Paso County (Central)--Colorado Springs City (Central)",109558.054,0.159 
"17820","08","04104","CO","Colorado Springs, CO (Metro)","El Paso County (Central)--Colorado Springs City (East) & Cimarron Hills",115462.156,0.168 
"17820","08","04105","CO","Colorado Springs, CO (Metro)","El Paso County (Central)--Colorado Springs City (South) & Security-Widefield",116782.236,0.17 
"17820","08","04106","CO","Colorado Springs, CO (Metro)","El Paso County (North Central)--Colorado Springs City (North) & Monument Town",113539.618,0.165 
"17860","29","00600","MO","Columbia, MO (Metro)","Boone County",172717,1 
"17900","45","00601","SC","Columbia, SC (Metro)","Lexington (South & West) & Saluda Counties--Lexington Town & Red Bank",171312.823,0.214 
"17900","45","00602","SC","Columbia, SC (Metro)","Lexington County (North & East)--West Columbia, Cayce Cities, Irmo Town & Seven Oaks",126601.177,0.158 
"17900","45","00603","SC","Columbia, SC (Metro)","Richland (North) & Fairfield Counties--Forest Acres City & Dentsville",181721.9,0.227 
"17900","45","00604","SC","Columbia, SC (Metro)","Richland County (Central)--Columbia City",211944.225,0.265 
"17900","45","00605","SC","Columbia, SC (Metro)","Kershaw, Richland (South) & Calhoun Counties",108914.874,0.136 
"17980","01","02400","AL","Columbus, GA-AL (Metro)","Russell, Pike, Barbour, Macon & Bullock Counties",59608,0.19 
"17980","13","01700","GA","Columbus, GA-AL (Metro)","River Valley Regional Commission (West Central)--Muscogee & Chattahoochee Counties",212724,0.677 
"17980","13","01800","GA","Columbus, GA-AL (Metro)","River Valley Regional Commission (Outside Muscogee & Chattahoochee Counties)",41673,0.133 
"18020","18","02900","IN","Columbus, IN (Metro)","Bartholomew & Jackson Counties--Columbus City",80217,1 
"18060","28","00600","MS","Columbus, MS (Micro)","Golden Triangle Region--Starkville, Columbus & West Point Cities",59730,1 
"18100","31","00200","NE","Columbus, NE (Micro)","Northeast Nebraska",32666,1 
"18140","39","02800","OH","Columbus, OH (Metro)","Marion, Knox & Morrow Counties",35152,0.018 
"18140","39","03700","OH","Columbus, OH (Metro)","Muskingum & Perry Counties",35812,0.018 
"18140","39","03800","OH","Columbus, OH (Metro)","Licking County",169390,0.085 
"18140","39","03900","OH","Columbus, OH (Metro)","Fairfield County",150381,0.075 
"18140","39","04000","OH","Columbus, OH (Metro)","Delaware County",189113,0.095 
"18140","39","04101","OH","Columbus, OH (Metro)","Columbus (Far Northeast), Gahanna & New Albany Cities",107215.846,0.054 
"18140","39","04102","OH","Columbus, OH (Metro)","Columbus (North), Westerville & Worthington Cities",106168,0.053 
"18140","39","04103","OH","Columbus, OH (Metro)","Columbus (Far Northwest), Dublin & Hilliard (North) Cities",107560.895,0.054 
"18140","39","04104","OH","Columbus, OH (Metro)","Columbus (Northwest), Upper Arlington & Grandview Heights Cities",106317.239,0.053 
"18140","39","04105","OH","Columbus, OH (Metro)","Columbus City (Central)",115119.148,0.058 
"18140","39","04106","OH","Columbus, OH (Metro)","Columbus City (Northeast)",133738.001,0.067 
"18140","39","04107","OH","Columbus, OH (Metro)","Columbus (East), Whitehall & Bexley Cities",108298.621,0.054 
"18140","39","04108","OH","Columbus, OH (Metro)","Columbus (Southeast) & Reynoldsburg Cities",118243.635,0.059 
"18140","39","04109","OH","Columbus, OH (Metro)","Franklin County (South)--Columbus (South), Grove Cities & Groveport Village",107662.504,0.054 
"18140","39","04110","OH","Columbus, OH (Metro)","Columbus City (West)",113483.873,0.057 
"18140","39","04111","OH","Columbus, OH (Metro)","Columbus (Far West) & Hilliard (South) Cities",107585.239,0.054 
"18140","39","04200","OH","Columbus, OH (Metro)","Pickaway, Union & Madison Counties",154570,0.077 
"18140","39","04900","OH","Columbus, OH (Metro)","Jackson, Hocking, Pike & Vinton Counties",28725,0.014 
"18180","33","00200","NH","Concord, NH (Micro)","Lakes Region--Belknap, Carroll & Merrimack (Northern) Counties",20772.471,0.141 
"18180","33","00400","NH","Concord, NH (Micro)","Central New Hampshire--Merrimack County (Central)--Concord City",112880.845,0.767 
"18180","33","00700","NH","Concord, NH (Micro)","Outer Manchester City",13517.683,0.092 
"18220","18","02600","IN","Connersville, IN (Micro)","Wayne, Fayette, Rush & Union Counties",23468,1 
"18260","47","00700","TN","Cookeville, TN (Micro)","Putnam, Overton, Jackson, Clay & Pickett Counties",107761,1 
"18300","41","00800","OR","Coos Bay, OR (Micro)","Josephine, Coos & Curry Counties",62475,1 
"18380","13","01800","GA","Cordele, GA (Micro)","River Valley Regional Commission (Outside Muscogee & Chattahoochee Counties)",22934,1 
"18420","28","00200","MS","Corinth, MS (Micro)","Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties",37380,1 
"18460","13","03500","GA","Cornelia, GA (Micro)","Georgia Mountains Regional Commission (Southeast)",43752,1 
"18500","36","02401","NY","Corning, NY (Micro)","Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities",25336.53,0.258 
"18500","36","02402","NY","Corning, NY (Micro)","Steuben (North & West), Schuyler & Chemung (North) Counties",73057.47,0.742 
"18580","48","06500","TX","Corpus Christi, TX (Metro)","Coastal Bend COG (Northeast)",91887,0.205 
"18580","48","06601","TX","Corpus Christi, TX (Metro)","Coastal Bend COG--Nueces County--Corpus Christi City (Outer)",122632.463,0.274 
"18580","48","06602","TX","Corpus Christi, TX (Metro)","Coastal Bend COG--Nueces County (Central)--Corpus Christi City (North Central)",122979.028,0.274 
"18580","48","06603","TX","Corpus Christi, TX (Metro)","Coastal Bend COG--Nueces County (Central)--Corpus Christi City (South Central)",110609.509,0.247 
"18620","48","03700","TX","Corsicana, TX (Micro)","Heart of Texas COG (Outside McLennan County) & Navarro County",48195,1 
"18660","36","01500","NY","Cortland, NY (Micro)","Madison & Cortland Counties",49024,1 
"18700","41","00600","OR","Corvallis, OR (Metro)","Linn & Benton Counties",86316,1 
"18740","39","02900","OH","Coshocton, OH (Micro)","Holmes, Guernsey & Coshocton Counties",36516,1 
"18780","08","00200","CO","Craig, CO (Micro)","Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties",12928,1 
"18820","18","01100","IN","Crawfordsville, IN (Micro)","Montgomery, Clinton, White, Carroll & Benton Counties",38146,1 
"18860","06","01500","CA","Crescent City, CA (Micro)","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",27212,1 
"18880","12","00500","FL","Crestview-Fort Walton Beach-Destin, FL (Metro)","Walton, Washington, Holmes & Bay Counties",61530,0.238 
"18880","12","09100","FL","Crestview-Fort Walton Beach-Destin, FL (Metro)","Okaloosa County",196512,0.762 
"18900","47","00800","TN","Crossville, TN (Micro)","Cumberland, White, Fentress & Van Buren Counties",57985,1 
"18980","01","00700","AL","Cullman, AL (Micro)","Cullman & Winston Counties",81289,1 
"19000","37","02300","NC","Cullowhee, NC (Micro)","Haywood, Madison, Swain, Graham & Jackson (North) Counties",6014.197,0.147 
"19000","37","02400","NC","Cullowhee, NC (Micro)","Jackson (South), Macon, Cherokee & Clay Counties",34966.803,0.853 
"19060","24","00100","MD","Cumberland, MD-WV (Metro)","Allegany & Garrett Counties--Cumberland City",72952,0.726 
"19060","54","00400","WV","Cumberland, MD-WV (Metro)","Berkeley, Jefferson, Mineral, Hampshire & Morgan Counties",27578,0.274 
"19100","48","00600","TX","Dallas-Fort Worth-Arlington, TX (Metro)","North Texas Regional Planning Commission (Outside Wichita County) & Wise County",61638,0.009 
"19100","48","00900","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities",176302,0.025 
"19100","48","01400","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Kaufman County",111236,0.016 
"19100","48","01901","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities",125139.112,0.018 
"19100","48","01902","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Collin County (Southwest)--Plano City (West)",122985.813,0.018 
"19100","48","01903","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Collin County (Southwest)--Plano City (Central)",115912.63,0.017 
"19100","48","01904","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities",131696.318,0.019 
"19100","48","01905","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Collin County (Central)--McKinney City",134254.704,0.019 
"19100","48","01906","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Collin County (Northwest)--Frisco City (East) & Prosper Town",117390.406,0.017 
"19100","48","01907","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Collin County (East)",137862.016,0.02 
"19100","48","02001","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities",120233.103,0.017 
"19100","48","02002","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Denton County (Southeast)--Lewisville City",116231.018,0.017 
"19100","48","02003","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Denton County (South Central)--Flower Mound Town & Highland Village City",132985.202,0.019 
"19100","48","02004","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities",125407.39,0.018 
"19100","48","02005","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Denton County (Central)--Denton (Central) & Corinth Cities",128410.091,0.018 
"19100","48","02006","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Denton County (North & West)--Denton City (Outer)",130096.197,0.019 
"19100","48","02101","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Ellis County",159317,0.023 
"19100","48","02102","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Johnson County",157456,0.023 
"19100","48","02200","TX","Dallas-Fort Worth-Arlington, TX (Metro)","North Central Texas COG (West)--Hood, Erath, Palo Pinto & Somervell Counties",62615,0.009 
"19100","48","02301","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities",109002.339,0.016 
"19100","48","02302","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (Northeast)--Garland City (South)",106565.742,0.015 
"19100","48","02303","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (East)--Mesquite City (Central & Southeast)",125802.2,0.018 
"19100","48","02304","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (Southeast)--Dallas City (Southeast)",106759.309,0.015 
"19100","48","02305","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas (East) & Mesquite (West) Cities--South of I-30 & West of I-635",132099.489,0.019 
"19100","48","02306","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas (Northeast) & Mesquite (North) Cities--North of I-30 & West of I-635",129050.286,0.019 
"19100","48","02307","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas City (Northeast)--East of US-75",120847.113,0.017 
"19100","48","02308","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities",111402.775,0.016 
"19100","48","02309","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas (Far North) & Richardson (Southwest) Cities",115306.009,0.017 
"19100","48","02310","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas (Far North), Carrollton (Southeast) Cities & Addison Town--North of I-635",108567.346,0.016 
"19100","48","02311","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas City (North)--South of I-635 & West of US-75",113456.493,0.016 
"19100","48","02312","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas (West Central), University Park Cities & Highland Park Town",115519.783,0.017 
"19100","48","02313","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas City (Downtown)--North of I-30",114121.213,0.016 
"19100","48","02314","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas City (East Central)--South of I-30 & East of I-35E",122965.708,0.018 
"19100","48","02315","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas City (West Central)--East of Loop TX-12 & West of I-35E",116419.548,0.017 
"19100","48","02316","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas City (South Central)--North of I-20 & West of I-35E",108550.33,0.016 
"19100","48","02317","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (South)--DeSoto & Lancaster Cities",106815.677,0.015 
"19100","48","02318","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (Southwest)--Cedar Hill & Duncanville Cities",110354.113,0.016 
"19100","48","02319","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities",115011.405,0.017 
"19100","48","02320","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (West)--Irving (South) & Grand Prairie (North) Cities",107839.877,0.016 
"19100","48","02321","TX","Dallas-Fort Worth-Arlington, TX (Metro)","Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities",112449.31,0.016 
